"id","rated","created_at","last_move_at","turns","victory_status","winner","increment_code","white_id","white_rating","black_id","black_rating","moves","opening_eco","opening_name","opening_ply","time","increment","modality","duration","diff","diff_num","winner_num","rated_num"
"FUHof5BD","TRUE",1420920964980,1420921751728,93,"mate","white","5+5","boria",1461,"aran09",1500,"e4 e5 f4 Nc6 Nf3 d6 Bc4 Be6 Bxe6 fxe6 O-O Qe7 c3 O-O-O a4 exf4 d4 e5 b4 Nf6 d5 Nxb4 cxb4 Nxe4 b5 b6 a5 h5 axb6 cxb6 Qe2 Ng3 hxg3 g5 Nc3 h4 g4 h3 Ba3 Qh7 gxh3 Qxh3 Qg2 Qh6 Kf2 Re8 Ne4 Kd7 Rh1 Qg7 Rxh8 Qxh8 Nfxg5 Rc8 Rc1 Rxc1 Bxc1 Be7 Qh3 Qc8 Qc3 Qb7 Qc6+ Qxc6 dxc6+ Kd8 Ne6+ Kc8 Kf3 d5 N4g5 e4+ Nxe4 dxe4+ Kxe4 Bd6 Bxf4 Bxf4 Kxf4 Kb8 g5 a6 g6 axb5 g7 b4 g8=Q+ Ka7 c7 b3 c8=Q b2 Qa8#","C30","King's Gambit Declined |  Queen's Knight Defense",4,5,5,"Light",786748,-39,-1,1,1
"O371pqab","TRUE",1420917828492,1420918133690,35,"resign","black","8+8","nerysas",1224,"aran09",1298,"f4 d5 d4 Nc6 e3 e6 Bb5 Nf6 Bxc6+ bxc6 c3 Ne4 g3 Bd6 Ne2 O-O h4 f6 b4 e5 dxe5 fxe5 fxe5 Bxe5 Bb2 Bg4 Nd2 Nxg3 Nxg3 Bxd1 Kxd1 Bxg3 Rg1 Qxh4 Kc1","A03","Bird Opening: Dutch Variation",2,8,8,"Light",305198,-74,-1,-1,1
"GbqXTRfR","TRUE",1420880341601,1420880991366,61,"mate","white","12+8","aran09",1309,"rasta19",1253,"d4 d5 Nf3 e6 e3 Nf6 Nc3 Nc6 Bd3 Bd6 O-O Ng4 e4 Qh4 g3 Qxh2+ Nxh2 Nxh2 Kxh2 e5 Nxd5 exd4 Qf3 Be6 Bf4 Ne5 Bxe5 Bxe5 Bb5+ c6 Ba4 b5 Bb3 cxd5 exd5 Bd7 d6 O-O Rac1 Bxd6 Rfe1 h6 c4 bxc4 Rxc4 Be6 Rc6 Rae8 Bc2 Bg4 Qxg4 Rxe1 Rxd6 Ree8 Rxh6 f6 Qg6 Rf7 Bb3 Re2 Qxf7#","D05","Colle System",6,12,8,"Fast",649765,56,1,1,1
"ZZZIvvU0","TRUE",1420878841159,1420879141584,30,"resign","black","1+30","aran09",1333,"raspoutine",1423,"d4 d5 Qd3 Nf6 Nf3 Bg4 Bf4 e6 Qc3 Nc6 Na3 Bb4 Qxb4 Nxb4 Nb5 O-O Bxc7 Qd7 e3 Nxc2+ Kd1 Nxa1 Kd2 Ne4+ Ke1 a6 Ne5 Qe7 Nxg4 Qb4+","D00","Amazon Attack",3,1,30,"Light",300425,-90,-1,-1,1
"u5aJxrLW","TRUE",1420833621618,1420834023157,35,"resign","white","10+0","dedaillon",1331,"aran09",1371,"e4 e5 Nf3 Nc6 d3 d5 Nbd2 Nf6 exd5 Qxd5 Be2 Nd4 c4 Qd6 Nxd4 Qxd4 Nf3 Qc5 Be3 Qb4+ Bd2 Qxb2 O-O Bb4 Bxb4 Qxb4 Nxe5 Qd6 Nf3 Bg4 Re1 Bxf3 Bxf3+ Kd8 Bxb7","C44","King's Knight Opening: Normal Variation",4,10,0,"Fast",401539,-40,-1,1,1
"RhPoF6U2","TRUE",1420832920760,1420833576238,41,"outoftime","white","3+10","guppless",1464,"aran09",1403,"e4 e5 d3 Nc6 c3 d6 Qf3 Be6 h3 Nf6 Ne2 d5 Ng3 Qd6 Be2 O-O-O Nd2 g6 Qxf6 Be7 Qf3 d4 Bd1 f5 exf5 Rhf8 O-O Bxf5 Nde4 Qd7 Nxf5 Rxf5 Qg3 h5 Qxg6 Rdf8 Bxh5 Bh4 g3 Be7 Bg4","C20","King's Pawn Game: Leonardis Variation",3,3,10,"Light",655478,61,1,1,1
"SWzutPKI","TRUE",1420743911364,1420744823068,62,"outoftime","black","8+0","aran09",1486,"ipotekamd",1391,"d4 e6 Nf3 Nf6 e3 c5 Bc4 Nc6 O-O Ne4 Bd2 cxd4 exd4 d5 Bb3 Bd6 Re1 Qc7 Nc3 Nxd2 Qxd2 Bd7 Nxd5 Qb8 Qg5 O-O Nf6+ Kh8 c3 gxf6 Qxf6+ Kg8 Ng5 Qd8 Bc2 Qxf6 Ne4 Qe7 Re3 e5 d5 Na5 Nxd6 Qxd6 Rg3+ Kh8 Rg5 Qh6 Rxe5 Qg7 Rae1 Bh3 g3 Nc4 Rh5 Qg4 Rxh7+ Kg8 Re4 f5 Re6 Kxh7","A46","Yusupov-Rubinstein System",5,8,0,"Light",911704,95,1,-1,1
"feCKPDg0","TRUE",1420657145802,1420658474631,67,"mate","white","15+5","sigseg",1543,"aran09",1539,"e4 e5 f4 Nc6 Nc3 d6 Bc4 exf4 Nf3 Nf6 d4 Ng4 Bxf4 g6 h3 Nf6 O-O Qe7 e5 Nh5 exd6 cxd6 Bh2 Bg7 Re1 Be6 d5 O-O dxe6 f5 Nd5 Qd8 e7 Qa5 exf8=Q+ Rxf8 Ne7+ Kh8 Nxc6 Qc5+ Kh1 Qxc4 Ncd4 Rc8 b3 Qa6 c4 Nf6 Ne6 Ne4 Nxg7 Nf2+ Kg1 Nxd1 Raxd1 Qb6+ Kh1 Kxg7 Bxd6 Qf2 Be5+ Kh6 Bf4+ Kg7 Rd7+ Kf6 Bg5#","C25","Vienna Game: Vienna Gambit",5,15,5,"Fast",1328829,4,1,1,1
"6l8p3VLB","TRUE",1420624227110,1420624996584,44,"outoftime","black","2+15","sidharthcnadhan",1490,"aran09",1472,"d4 d5 c4 Bf5 cxd5 Qxd5 Nc3 Qd7 e4 Bg6 Nf3 f5 Ne5 Qd6 Nxg6 Qxg6 Nd5 Qc6 f3 e6 Nb4 Qb6 Nd3 Nc6 exf5 O-O-O fxe6 Nxd4 Be3 Re8 Nf4 Nc2+ Qxc2 Qxe3+ Ne2 Rxe6 a3 b5 Rc1 Bd6 Kd1 Nf6 g3 Rd8","D02","Queen's Gambit Refused: Baltic Defense",4,2,15,"Light",769474,18,1,-1,1
"FlHlmE9i","TRUE",1420610523523,1420611114414,41,"resign","white","15+5","kittu006",1590,"aran09",1539,"e4 e5 Bc4 Nf6 d3 g6 h3 Bc5 a4 b6 g4 Bb7 h4 h6 g5 Ng4 Qxg4 h5 Qf3 O-O Qg3 Nc6 c3 Re8 Qf3 Re7 Qf6 Na5 Qxg6+ Kf8 Qh6+ Ke8 Ba2 Re6 Qh8+ Ke7 Qg7 Ba6 g6 Bxd3 Bg5+","C24","Bishop's Opening: Berlin Defense",4,15,5,"Fast",590891,51,1,1,1
"wycDvCS5","TRUE",1461035114060,1461035866796,50,"mate","black","5+5","improbablyhigh",1438,"cfloyd",1497,"e4 g6 Nf3 Bg7 d4 d6 Bc4 e6 Qe2 a6 e5 b5 Bb3 Bb7 Bg5 Bxf3 Qxf3 Qxg5 Qxa8 Qd8 O-O Ne7 Nc3 O-O d5 dxe5 dxe6 b4 Nd5 Nxd5 Bxd5 fxe6 Bxe6+ Kh8 Rad1 Qf6 Qd5 c6 Qd6 e4 Rfe1 Qxb2 Rxe4 Qxc2 Rc4 Qxf2+ Kh1 Qf1+ Rxf1 Rxf1#","B06","Modern Defense",2,5,5,"Light",752736,-59,-1,-1,1
"gdF94tx2","TRUE",1447128551256,1447129447705,94,"resign","black","5+8","improbablyhigh",1468,"berreta",1484,"e4 e5 Nf3 Nf6 Bc4 Nc6 Ng5 d5 exd5 Nxd5 Nc3 Qxg5 Nxd5 Bd6 Qf3 O-O d4 Nxd4 Bxg5 Nxf3+ gxf3 f6 Bh4 Kh8 O-O-O Bh3 Bg3 Bg2 Rhe1 Bxf3 h4 Bxd1 Rxd1 Rad8 f4 e4 Re1 c6 Ne3 b5 Be6 Bb4 c3 Bc5 Nf5 Rd6 b4 Bxb4 cxb4 Rxe6 h5 Rd8 h6 g6 Ng7 Red6 f5 Rd3 Bh4 g5 Ne6 Rc3+ Kb2 Rdd3 Rc1 Rxc1 Kxc1 gxh4 Kc2 h3 Nf4 h2 Nxd3 exd3+ Kxd3 h1=Q Kc2 Qe4+ Kb2 Qxf5 Ka1 Qe5+ Kb1 Qe1+ Kb2 Qxb4+ Ka1 c5 a3 Qxa3+ Kb1 b4 Kc2 b3+","C57","Italian Game: Two Knights Defense |  Knight Attack |  Normal Variation",8,5,8,"Light",896449,-16,-1,-1,1
"fj8Qy0UC","TRUE",1446782614620,1446783442886,66,"resign","white","10+0","brujodeflandes",1499,"improbablyhigh",1478,"e4 c5 Nf3 Nc6 Bc4 g6 d4 cxd4 Nxd4 Bg7 Be3 a6 Qd2 d6 Nc3 Nf6 Bh6 Bxh6 Qxh6 Nxd4 Qg7 Rf8 O-O-O h5 Rxd4 b5 Bb3 Bb7 e5 dxe5 Rxd8+ Rxd8 f3 e4 fxe4 Bxe4 Nxe4 Nxe4 Qe5 Nf2 Rf1 Ng4 Qc7 f6 Re1 Ne5 a4 Rd7 Qc8+ Rd8 Qxa6 bxa4 Bxa4+ Kf7 Bb3+ Kg7 g3 Nf3 Re2 Nd2 Rxd2 f5 Rxd8 Rxd8 Qe6 Ra8","B30","Sicilian Defense: Old Sicilian",4,10,0,"Fast",828266,21,1,1,1
"Qz86tCvW","TRUE",1446782134396,1446782595940,34,"resign","black","5+5","kaspolsen2000",1407,"improbablyhigh",1468,"e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 Nxd4 Qxd4 b6 Qd5 Rb8 Bf4 d6 e5 g6 Bb5+ Bd7 e6 fxe6 Bxd7+ Qxd7 Qg5 e5 Bg3 Bg7 O-O e4 Qd5 Bxb2 Re1 Nf6 Nd2 Nxd5","B32","Sicilian Defense: Open #3",7,5,5,"Light",461544,-61,-1,-1,1
"XDKSUJSm","TRUE",1446782057445,1446782110254,9,"resign","white","5+5","kaspolsen2000",1392,"improbablyhigh",1483,"e4 c5 Nf3 g6 d4 cxd4 Qxd4 Bg7 Qxg7","A42","Sicilian Defense: Hyperaccelerated Fianchetto",5,5,5,"Light",52809,-91,-1,1,1
"CcN5J9Y8","TRUE",1439347392387,1439348966961,88,"resign","black","15+10","improbablyhigh",1485,"jeffreytwhitney",1512,"f4 d5 Nf3 e6 b3 Be7 Bb2 Nf6 Nc3 O-O e3 a6 Qe2 Bd7 O-O-O b5 e4 b4 e5 bxc3 dxc3 Ng4 c4 c6 h3 Nh6 cxd5 cxd5 Qd3 Nf5 h4 Ng3 Rh3 Nxf1 Rxf1 Bb5 c4 dxc4 Qxd8 Bxd8 bxc4 Bxc4 Rd1 Bxa2 Ba3 Re8 g4 Bd5 Ng5 h6 Nf3 Bxf3 Rxf3 Nc6 g5 Rc8 Rc3 Be7 Bxe7 Rxe7 gxh6 gxh6 Rd6 Rec7 f5 exf5 Rxh6 Nxe5 Rxc7 Rxc7+ Kd2 Rc6 Rh5 Nf3+ Ke3 Nxh4 Rxh4 Re6+ Kf4 Re4+ Kg5 Rxh4 Kxh4 a5 Kg3 a4 Kf3 a3","A03","Bird Opening: Dutch Variation",2,15,10,"Fast",1574574,-27,-1,-1,1
"fOgN81s0","TRUE",1430589285346,1430589546818,29,"resign","black","15+10","improbablyhigh",1495,"n4zgul",1565,"e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nc6 Be3 Nf6 Nc3 a6 g3 e6 Bg2 Be7 O-O O-O Qf3 Nxd4 Bxd4 e5 Be3 Bg4 Qxg4 Nxg4 Nd5 Nxe3 fxe3","B54","Sicilian Defense #2",6,15,10,"Fast",261472,-70,-1,-1,1
"MPdTXWqT","TRUE",1430448134335,1430448878072,57,"resign","white","8+0","klassik_1",1399,"improbablyhigh",1491,"c4 c5 Nc3 Nc6 d3 g6 g3 Bg7 Bd2 Nf6 Bg2 e6 Bxc6 bxc6 Nf3 d5 b3 Ng4 Na4 Bxa1 Qxa1 d4 Nxc5 Qe7 Qxd4 e5 Nxe5 Nxe5 Bf4 f6 Bxe5 fxe5 Qe3 Rf8 Ne4 Bf5 Nd2 a5 a4 O-O-O Qb6 Qf6 Qxa5 Bxd3 exd3 Qxf2+ Kd1 Qf3+ Nxf3 Rxf3 Qxe5 Rdxd3+ Kc2 Rf2+ Kxd3 Rf3+ Ke4","A35","English Opening: Symmetrical Variation |  Two Knights Variation",4,8,0,"Light",743737,-92,-1,1,1
"NHRcERsd","TRUE",1430447715861,1430448091396,24,"resign","black","7+8","k1a2r3t4a5l6",1464,"improbablyhigh",1479,"e4 c5 d4 cxd4 Qxd4 Nc6 Qe3 g6 a4 Bg7 Bc4 d6 Nf3 Nf6 c3 d5 exd5 Nxd5 Qe2 Bf5 Na3 O-O Bf4 Nxf4","B21","Sicilian Defense: Smith-Morra Gambit #2",3,7,8,"Light",375535,-15,-1,-1,1
"lYEg18Ip","FALSE",1430193948266,1430193986328,4,"resign","white","5+8","hadikhan",1500,"improbablyhigh",1479,"e3 d6 Qf3 c6","A00","Van't Kruijs Opening",1,5,8,"Light",38062,21,1,1,0
"z8xajoMQ","TRUE",1429982599825,1429982906344,35,"mate","white","5+15","improbablyhigh",1450,"brunone",1432,"e4 e6 Qe2 c5 Nf3 a6 d4 h6 d5 d6 Nc3 e5 b3 Nf6 Bb2 Bg4 O-O-O Nbd7 h3 Bh5 g4 Bg6 Rg1 Nb6 g5 hxg5 Nxg5 Nfd7 Qf3 Be7 Qg4 Bh5 Qf5 Bxd1 Qxf7#","C00","French Defense: Chigorin Variation",3,5,15,"Light",306519,18,1,1,1
"wmrYjsBG","TRUE",1497376463985,1497376769855,37,"mate","white","10+0","airyneon",1795,"deadofmort",1700,"e4 e5 Nf3 Nf6 Nxe5 d6 Nf3 Nxe4 Nc3 Nxc3 dxc3 Be7 Bd3 Bg4 h3 Bh5 Bf4 O-O O-O Nd7 Be2 Re8 Nd4 Bxe2 Qxe2 Bg5 Qg4 Bxf4 Qxf4 Nf6 Rae1 Qd7 Nf5 Nd5 Qg4 Nf6 Qxg7#","C42","Russian Game: Nimzowitsch Attack",9,10,0,"Fast",305870,95,1,1,1
"071xIJg0","TRUE",1471805454825,1471806171172,81,"resign","white","10+0","airyneon",1776,"zagorpoch",1829,"e4 e5 Nf3 Nc6 Bb5 d6 O-O Bd7 Nc3 Nf6 Re1 Nd4 Nxd4 exd4 Bxd7+ Qxd7 Nd5 Nxd5 exd5+ Be7 d3 O-O Qe2 Bf6 Bf4 Qb5 b3 Qxd5 Rad1 g6 Qg4 Be5 Bh6 Rfe8 Re2 Qe6 Qxe6 Rxe6 Rde1 f5 f4 Rae8 fxe5 dxe5 Bd2 a6 c3 dxc3 Bxc3 e4 dxe4 fxe4 Ba5 c6 Kf2 b5 Ke3 c5 Kf4 Rf8+ Ke3 g5 Kd2 Rfe8 Kc2 Re5 Bc3 R5e6 Bd2 b4 Bxg5 h5 Be3 Re5 Rf2 R5e6 Rf5 c4 bxc4 a5 Rxa5","C62","Ruy Lopez: Steinitz Defense",6,10,0,"Fast",716347,-53,-1,1,1
"zTlf7W2i","TRUE",1471365607996,1471366276443,63,"resign","white","10+2","guk_schutzbach",1813,"airyneon",1792,"e4 c5 Nf3 d6 c3 Nf6 d3 Nc6 Be2 e6 O-O Be7 h3 O-O Nbd2 d5 e5 Nd7 d4 cxd4 cxd4 f6 exf6 Nxf6 Nb3 Qc7 Bd3 Rd8 Re1 Nb4 Bb5 Nc2 Bf4 Bd6 Bxd6 Rxd6 Rc1 Qb6 Rxc2 Qxb5 Rc5 Qe8 Qc2 Rc6 Ne5 Rxc5 Nxc5 b6 Ncd3 Bb7 Nf4 Rc8 Qe2 Ne4 f3 Ng3 Qf2 Nf5 Ng4 Rc6 Nxd5 Nxd4 Qxd4","B50","Sicilian Defense: Delayed Alapin",5,10,2,"Fast",668447,21,1,1,1
"z0j86a4F","TRUE",1469032143015,1469032694272,52,"resign","black","5+8","mrgoh",1858,"airyneon",1779,"e4 c5 f4 Nc6 Bc4 e6 Nf3 d6 Nc3 a6 O-O Nf6 e5 d5 exf6 dxc4 fxg7 Bxg7 Ne4 Nd4 Nxc5 Nxf3+ Qxf3 Bd4+ Kh1 Bxc5 d3 cxd3 cxd3 Rb8 a3 b5 b4 Bb6 Bb2 Bb7 Qg3 Rf8 Qh3 Rg8 Rg1 Bxg1 Rxg1 Rc8 Qxh7 Rxg2 Qh8+ Kd7 Qd4+ Ke8 Qh8+ Rg8+","B21","Sicilian Defense: McDonnell Attack",3,5,8,"Light",551257,79,1,-1,1
"HJFaW72x","TRUE",1427400388428,1427401411326,79,"resign","white","6+10","yura163",1424,"elgallo114",1500,"e4 Nc6 d4 Nb4 Bd2 Nf6 Bxb4 Nxe4 Bd3 Nxf2 Kxf2 a5 Bc3 b6 Nf3 Ba6 Re1 d5 Ng5 f6 Ne6 Qd6 Bf5 g6 Bh3 Bc8 Kg1 Bxe6 Rxe6 Qf4 Bd2 Qxd4+ Kh1 Qxb2 Nc3 d4 Nd5 Rd8 Nxf6+ Kf7 Qf1 Qxc2 Bc1 h6 Nh5+ Ke8 Qb5+ Kf7 Qf1+ Ke8 Ba3 Qf5 Rxe7+ Bxe7 Ng7+ Kf7 Nxf5 gxf5 Bxe7 Kxe7 Re1+ Kd7 Bxf5+ Kc6 Qf3+ Rd5 Bd7+ Kxd7 Qxd5+ Kc8 Qa8+ Kd7 Qxh8 d3 Qd4+ Kc8 Qd5 Kb8 Re8+","B00","King's Pawn Game: Nimzowitsch Defense",3,6,10,"Light",1022898,-76,-1,1,1
"018JyEeA","TRUE",1432626725046,1432627495128,47,"mate","white","20+10","hassan1365416",1568,"tabrizbest1",1561,"e4 e5 Nf3 d5 exd5 Qxd5 Nc3 Qe6 a3 a6 h3 Bd7 Bd3 Bc6 O-O Nf6 Nxe5 Be7 Re1 Qd6 Bc4 Nbd7 Nxf7 Qc5 d3 Rf8 Be3 Qh5 Qxh5 Nxh5 Ng5 h6 Ne6 Nhf6 Nxc7+ Kd8 Nxa8 b5 Bb3 Bxa8 Be6 Nb8 Bg4 b4 axb4 Bxb4 Bb6#","C40","Elephant Gambit",4,20,10,"Fast",770082,7,1,1,1
"JoiwM97y","TRUE",1430821938587,1430824242901,106,"outoftime","black","20+10","hassan1365416",1581,"martinus1949",1667,"e4 e5 Bc4 Nc6 Nf3 h6 a3 Nf6 Nc3 d6 d3 Bg4 h3 Bh5 O-O Nd4 Be3 Nxf3+ gxf3 Qd7 Kh2 c6 d4 exd4 Bxd4 b5 Bb3 c5 Bxf6 gxf6 Qe2 a6 a4 b4 Nd5 Qd8 Bc4 Be7 Bxa6 Bxf3 Qxf3 Rxa6 b3 Kd7 Qd3 Rc6 Qb5 Qb8 Qc4 Rg8 Nxf6+ Bxf6 Qxf7+ Be7 Rg1 Rf8 Qd5 Rxf2+ Kh1 Qf8 Rg3 Rf1+ Rxf1 Qxf1+ Kh2 Qf4 Qh5 Rc8 Qf3 Bg5 Kg2 Qd2+ Kf1 Qc1+ Ke2 Qxc2+ Kf1 Qc1+ Ke2 Qf4 e5 Qxe5+ Kd3 Qc3+ Ke4 Qxf3+ Rxf3 Re8+ Kd5 Re5+ Kc4 Kc6 Rd3 Re3 Rxe3 Bxe3 h4 d5+ Kd3 d4 h5 Bf4 Kc4 Bc7 Kd3 Kd5","C55","Italian Game: Anti-Fried Liver Defense",6,20,10,"Fast",2304314,-86,-1,-1,1
"BtWQFLbW","TRUE",1426167409272,1426168667994,49,"resign","white","20+10","hassan1365416",1578,"cashman",1569,"e4 e5 Nf3 Nc6 Bc4 Nf6 Ng5 d5 exd5 Na5 Bb3 Nxb3 axb3 Nxd5 d4 Be7 Nf3 e4 Nfd2 Nf4 O-O O-O Nxe4 Qd5 Qf3 Bf5 Nbc3 Bxe4 Nxe4 Ne6 Nf6+ Bxf6 Qxd5 Nxd4 Qc4 c6 Be3 Rad8 c3 Nf5 Bxa7 Nd6 Qb4 b5 Bc5 Be5 Rad1 Ne4 Bxf8","C57","Italian Game: Two Knights Defense |  Polerio Defense",10,20,10,"Fast",1258722,9,1,1,1
"AGjgKlrt","TRUE",1424007005788,1424008571148,109,"mate","white","20+10","hassan1365416",1606,"jeffrey47",1537,"e4 e6 d4 Nf6 Bg5 Be7 Bxf6 Bxf6 Nc3 Nc6 Nf3 d5 e5 Be7 Bb5 Bd7 Bxc6 Bxc6 O-O h5 a3 h4 h3 g5 Nh2 f5 f4 g4 hxg4 h3 g3 Qd7 g5 O-O-O a4 Qe8 Ne2 Rh5 c3 Bxg5 fxg5 Rxg5 Nf3 Rg4 Kh2 Qh5 Rg1 Rdg8 Qe1 Re4 b4 Qxf3 Ra2 Rxg3 Rxg3 Qh5 Qg1 b6 Rxh3 Rxe2+ Rxe2 Qxe2+ Qg2 Qd1 Qg8+ Kb7 Qxe6 Qe2+ Kh1 Qf1+ Kh2 Qf2+ Kh1 Qe1+ Kg2 Qd2+ Kg3 Qg5+ Kh2 Qf4+ Rg3 Qh4+ Kg2 Qe4+ Rf3 Qc2+ Kg3 f4+ Kxf4 Qe4+ Kg3 Qe1+ Kg4 Qg1+ Kf5 Qh1 b5 Qxf3+ Kg6 Qg3+ Kf7 Qf4+ Ke7 Qg5+ Qf6 Qg8 Qxc6+ Kc8 Qa8#","A45","Trompowsky Attack: Classical Defense |  Big Center Variation",5,20,10,"Fast",1565360,69,1,1,1
